,main_category,category,year,usd_pledged_real,pledged_minmax,x,y,success_rank
183,Crafts,DIY,2017,236996.98,5.112035204802394,16.572129070589767,9.663796082117358,3.0
184,Crafts,Embroidery,2012,4000.0,5.00175317566741,19.5310542279203,19.099593661475918,3.0
185,Crafts,Embroidery,2013,8117.0,5.003701832315015,8.705064716531044,4.650043997342495,3.0
186,Crafts,Embroidery,2014,1558.5,5.000597565950352,1.1416551022926638,15.130719062537464,3.0
187,Crafts,Embroidery,2015,28583.65,5.013389098182561,15.253022327259146,1.7009339065560312,3.0
188,Crafts,Embroidery,2016,13278.260000000002,5.006144757651184,7.445971947442067,2.9929829108398396,3.0
189,Crafts,Embroidery,2017,39265.810000000005,5.018445173503128,15.394927600327598,1.275202528906807,3.0
190,Crafts,Glass,2011,946.0,5.000307657717013,16.78089560632611,17.928962126735428,3.0
191,Crafts,Glass,2012,6620.0,5.002993272926755,1.6369880654088185,13.44907881970066,3.0
192,Crafts,Glass,2013,16543.0,5.007690022966633,14.885818231384055,17.451919033430524,3.0
193,Crafts,Glass,2014,45515.72,5.021403378183339,6.41175157712544,9.230328670235576,3.0
194,Crafts,Glass,2015,65175.58000000001,5.030708774559334,7.111239993809079,10.205598768424872,3.0
195,Crafts,Glass,2016,50203.310000000005,5.023622106241328,7.350697840882942,19.93286097930837,3.0
196,Crafts,Glass,2017,18052.84,5.008404659778102,11.229225441098658,12.527834667470657,3.0
197,Crafts,Knitting,2009,5300.0,5.002368491101436,5.621889662371347,9.055276124472243,3.0
198,Crafts,Knitting,2012,11120.0,5.005123210967614,10.394895863643853,7.711861044930891,3.0
199,Crafts,Knitting,2013,28559.0,5.013377430855293,6.382878522636395,2.420485203106404,3.0
200,Crafts,Knitting,2014,124559.48999999999,5.058816340986887,3.3680500972575143,11.27085355549604,3.0
201,Crafts,Knitting,2015,309770.43,5.1464803024734165,5.749559189382171,2.527880605170966,3.0
202,Crafts,Knitting,2016,96768.42999999998,5.045662288566928,13.937835328200594,10.733088080052003,3.0
203,Crafts,Knitting,2017,100351.79999999999,5.047358367695256,6.8998266012413625,10.343459716002162,3.0
204,Crafts,Letterpress,2010,4809.0,5.0021360911952,4.805824936729714,11.512539306079375,3.0
205,Crafts,Letterpress,2011,10138.0,5.004658411155143,7.945885817973121,14.29224138181792,3.0
206,Crafts,Letterpress,2012,23550.510000000002,5.011006814549011,5.058958572090912,4.499182367431327,3.0
207,Crafts,Letterpress,2013,2611.0,5.001095734792131,19.705186832874613,2.7506714972168247,3.0
208,Crafts,Letterpress,2014,42026.0,5.019751625432239,15.957534148310025,7.442217504920187,3.0
209,Crafts,Letterpress,2015,112843.15,5.053270768038965,3.8814259239177358,17.174629754436154,3.0
210,Crafts,Letterpress,2016,2468.07,5.001028083226758,6.582484055914704,9.11715874298449,3.0
211,Crafts,Letterpress,2017,4254.0,5.001873398836827,9.28197553987059,14.617636682131398,3.0
212,Crafts,Pottery,2011,4993.0,5.002223181995093,11.033427857247748,5.636430477301858,3.0
213,Crafts,Pottery,2012,14473.5,5.00671048812762,8.38034138708796,17.074894808081183,3.0
214,Crafts,Pottery,2013,28423.0,5.013313059394503,10.943150807053039,11.004642105577908,3.0
215,Crafts,Pottery,2014,56808.97,5.026748694356659,15.44244838580888,13.832508208609942,3.0
216,Crafts,Pottery,2015,79317.36,5.037402355712104,3.928833563638695,11.97462764052437,3.0
217,Crafts,Pottery,2016,136403.94999999998,5.064422555637429,11.62520283244906,4.253981743251101,3.0
218,Crafts,Pottery,2017,62463.990000000005,5.029425325961063,4.124889494052328,5.750652318916661,3.0
219,Crafts,Printing,2012,9550.0,5.0043800992511365,11.161040460917738,4.346737642307973,3.0
220,Crafts,Printing,2014,13178.54,5.006097558224199,7.024893338757257,12.949492477143586,3.0
221,Crafts,Printing,2015,87116.31,5.041093751330719,16.260181483553502,2.582905323119232,3.0
222,Crafts,Printing,2016,48151.6,5.02265099175737,17.739192935450284,9.475989532889203,3.0
223,Crafts,Printing,2017,46946.87999999999,5.022080774211463,19.17715228892054,18.264568717150738,3.0
224,Crafts,Quilts,2011,1392.0,5.0005187582428405,8.735723318540579,15.592458458122215,3.0
225,Crafts,Quilts,2012,8850.0,5.0040487755558924,12.717956047408757,3.180879074538864,3.0
226,Crafts,Quilts,2013,2508.3599999999997,5.001047153272017,4.2039840753530004,9.57549712729927,3.0
227,Crafts,Quilts,2014,4892.65,5.002175684376782,14.520808531847758,17.413938417934244,3.0
228,Crafts,Quilts,2015,54846.75,5.02581993724054,15.782421830869756,19.38419680530249,3.0
229,Crafts,Quilts,2016,59633.39,5.028085547601406,9.1133980259158,19.71948588878533,3.0
230,Crafts,Quilts,2017,38358.0,5.018015489269156,7.112140664979419,6.448103387820815,3.0
231,Crafts,Stationery,2011,526.0,5.000108863499866,15.403304572557552,12.068324916794817,3.0
232,Crafts,Stationery,2013,6679.0,5.003021198781068,15.256635744385804,17.95514462129163,3.0
233,Crafts,Stationery,2014,55379.25,5.026071979908708,16.186864938151896,2.809303767391408,3.0
234,Crafts,Stationery,2015,68294.59999999999,5.032185067747823,6.484851232430331,7.682410990219947,3.0
235,Crafts,Stationery,2016,118449.04,5.05592414545316,5.609430249175356,13.352563965444418,3.0
236,Crafts,Stationery,2017,124299.34,5.058693206902147,5.762245383449595,13.139730651866037,3.0
237,Crafts,Taxidermy,2014,29626.420000000002,5.013882661624976,4.62937886325053,10.29833599495779,3.0
238,Crafts,Taxidermy,2015,7165.58,5.003251506614829,1.13324993158802,11.00628941348836,3.0
239,Crafts,Taxidermy,2016,634.99,5.000160450599216,3.3260749978199993,1.2713429531855571,3.0
240,Crafts,Weaving,2011,5395.0,5.002413456460077,10.36155502096046,2.067387654802793,3.0
